Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4879003;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1119,03272563133
4879004;1;1;2;2;11; ;3;5; ;1;2; ; ;1; ;04;1168,46609452917
4879004;1;2;2;1; ; ;3;5; ;1;2; ; ;1; ;04;1168,46609452917
4879004;1;3;2;1; ; ;3;5; ;1;2; ; ;1; ;04;1168,46609452917
4879005;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1265,33611357564
4879005;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1265,33611357564
4879005;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1265,33611357564
4879006;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1181,58381093412
4879007;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1182,63366273153
4879007;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;04;1182,63366273153
4879007;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1182,63366273153
4879008;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1243,28545035841
4879008;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;04;1243,28545035841
4879008;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1243,28545035841
4879008;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1243,28545035841
4879008;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1243,28545035841
4879009;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;04;559,253899866314
4879009;1;2;2;2;23; ;2; ; ;1;2; ; ;1; ;04;559,253899866314
4879009;1;3;2;2;15; ;3;15; ;1;3;15; ;1; ;04;559,253899866314
4879009;1;4;2;2;23; ;2; ; ;1;2; ; ;1; ;04;559,253899866314
4879009;1;5;2;2;76; ;3;76; ;1;2; ; ;1; ;04;559,253899866314
4879010;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;04;1067,39753776577
4879010;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1067,39753776577
4879010;2;1;2;2;73; ;3;73; ;2;2; ; ;1; ;04;1067,39753776577
4879010;3;1;2;2;11; ;3;81; ;1;2; ; ;1; ;04;1067,39753776577
4879011;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1279,50368177799
4879011;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;04;1279,50368177799
4879011;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1279,50368177799
4879012;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;04;1182,10873683282
4879012;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1182,10873683282
4879013;1;1;2;2;5; ;3;17; ;1;2; ; ;1; ;04;811,146102113862
4879013;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;04;811,146102113862
4879013;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;811,146102113862
4879013;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;04;811,146102113862
4879014;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1546,87159884949
4879014;1;2;2;2;68; ;2; ; ;1;2; ; ;1; ;04;1546,87159884949
4879014;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;04;1546,87159884949
4879014;1;4;1;1; ; ;3;5; ;1;2; ; ;1; ;04;1546,87159884949
4879015;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1194,37700735928
4879015;1;2;2;2;66; ;2; ; ;1;2; ; ;1; ;04;1194,37700735928
4879015;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1194,37700735928
4879015;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1194,37700735928
4879016;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;04;762,237659114724
4879016;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;762,237659114724
4879016;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;04;762,237659114724
4879017;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;04;1182,10873683282
4879017;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;04;1182,10873683282
4879018;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;966,96804625624
4879018;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;04;966,96804625624
4879018;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;04;966,96804625624
4879018;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;04;966,96804625624
4879019;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1182,10873683282
4879019;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1182,10873683282
4879020;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;940,110266474324
4879021;1;1;1;2;17; ;2; ; ;1;2; ; ;1; ;04;1421,00732084018
4879021;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1421,00732084018
4879021;1;3;1;2;76; ;2; ; ;1;2; ; ;1; ;04;1421,00732084018
