Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4978480;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1160,82193951118
4978480;1;2;1;2;11; ;2; ; ;1;2; ; ;1; ;08;1160,82193951118
4978480;1;3;1;2;11; ;2; ; ;1;2; ; ;1; ;08;1160,82193951118
4978480;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1160,82193951118
4978481;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1183,81186012517
4978482;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978482;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978483;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1140,00284349721
4978483;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1140,00284349721
4978483;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1140,00284349721
4978485;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;08;2509,45507172499
4978485;1;2;2;1; ; ;3;66; ;1;2; ; ;1; ;08;2509,45507172499
4978486;1;1;2;2;73; ;3;17; ;1;2; ; ;1; ;08;1799,13631413487
4978486;2;1;2;2;52; ;3;52; ;1;2; ; ;1; ;08;1799,13631413487
4978487;1;1;2;2;52; ;3;86; ;1;2; ; ;1; ;08;1365,83422354292
4978487;2;1;2;3; ;11;4; ;11; ;4; ;11; ;2;08;1365,83422354292
4978487;3;1;2;2;17; ;2; ; ;1;2; ; ;1; ;08;1365,83422354292
4978487;4;1;2;2;52; ;3;52; ;1;3;52; ;1; ;08;1365,83422354292
4978488;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1031,78892747113
4978488;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1031,78892747113
4978489;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1322,32019362425
4978489;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1322,32019362425
4978489;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1322,32019362425
4978490;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1192,57081732916
4978490;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1192,57081732916
4978491;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;08;1154,76000828395
4978491;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1154,76000828395
4978491;1;3;2;2;23; ;2; ; ;1;2; ; ;1; ;08;1154,76000828395
4978492;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978492;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978493;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;897,185884400536
4978493;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;897,185884400536
4978493;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;897,185884400536
4978493;1;4;2;2;76; ;2; ; ;1;2; ; ;1; ;08;897,185884400536
4978493;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;08;897,185884400536
4978494;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1075,37473085527
4978494;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1075,37473085527
4978494;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1075,37473085527
4978494;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1075,37473085527
4978495;1;1;1;2;70; ;3;70; ;1;3;70; ;1; ;08;2015,56414618702
4978495;1;2;2;2;70; ;2; ; ;1;2; ; ;1; ;08;2015,56414618702
4978495;1;3;2;2;13; ;3;13; ;1;3;13; ;1; ;08;2015,56414618702
4978496;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;758,357515268761
4978496;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;758,357515268761
4978496;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;758,357515268761
4978496;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;08;758,357515268761
4978497;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978497;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978498;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1989,62144563016
4978499;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978499;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978500;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;08;1685,57558032208
4978500;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;08;1685,57558032208
4978501;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;08;1225,45005215312
4978501;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1225,45005215312
4978501;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1225,45005215312
4978502;1;1;2;2;52; ;3;52; ;1;2; ; ;1; ;08;1759,53198963419
4978502;1;2;2;2;19; ;2; ; ;1;2; ; ;1; ;08;1759,53198963419
4978502;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1759,53198963419
4978503;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;08;1137,03829837739
4978504;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;08;873,402243266743
4978504;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;873,402243266743
4978505;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978505;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978506;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1799,13631413487
4978506;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;08;1799,13631413487
4978507;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978507;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1087,16735052219
4978508;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;965,758870973857
4978508;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;965,758870973857
4978508;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;965,758870973857
4978509;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;994,810722815079
4978510;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1129,99603833859
4978510;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1129,99603833859
4978510;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1129,99603833859
4978511;1;1;2;2;81; ;3;81; ;1;2; ; ;1; ;08;1934,32162965839
4978511;2;1;2;2;17; ;2; ; ;1;2; ; ;1; ;08;1934,32162965839
4978511;3;1;2;2;86; ;3;86; ;2;2; ; ;1; ;08;1934,32162965839
4978512;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;870,516305226215
4978512;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;870,516305226215
4978512;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;870,516305226215
